Provincia,Partido,Unnamed: 2,Poblacion,ADSL,CABLEMODEM,Unnamed: 6,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,Unnamed: 13,Latitud,Longitud
TUCUMAN,0,0,5488660,SI,0,0,SI,SI,0,SI,SI,0,900840100,"-26,82900979033","-65,2105441811048"
TUCUMAN,Chicligasta,Alpachiri,00,--,--,--,0,0,--,0,SI,SI,00,0,"-65,7560706396094"
0,Chicligasta,Alto Verde,23410,0,--,--,--,0,--,0,--,SI,900210200,0,"-65,6079258666538"
TUCUMAN,0,Arcadia,20720,SI,0,--,--,--,0,SI,0,0,900210300,"-27,3069484835773",0
TUCUMAN,Chicligasta,0,497820,SI,SI,0,SI,--,SI,SI,0,SI,900210500,"-27,3421785890325",0
0,Chicligasta,Iltico,00,0,--,--,--,0,--,0,--,SI,00,0,"-65,643"
TUCUMAN,Chicligasta,La Trinidad,00,SI,--,--,0,--,--,0,SI,SI,900210700,0,"-65,5152314804134"
0,Chicligasta,Medina,00,0,--,--,0,0,--,--,0,--,900210800,"-27,418836093134",0
0,Chicligasta,San Roque,5930,0,--,--,--,0,--,--,--,0,900210400,"-27,3293616351221","-65,5823860081286"
TUCUMAN,0,0,419470,--,0,0,SI,--,0,0,SI,SI,900140100,0,"-65,1385924038502"
TUCUMAN,0,Banda del Río Salí,632260,--,0,--,SI,--,0,0,SI,SI,00,0,"-65,1632837939025"
0,Cruz Alta,Barrio Aeropuerto,00,0,--,--,--,0,--,--,SI,0,900140900,"-26,8489","-65,1311"
TUCUMAN,Cruz Alta,Colombres,00,0,--,--,0,--,--,SI,0,SI,900140400,"-26,8835749144059",0
0,Cruz Alta,Colonia Mayo - Barrio La Milagrosa,00,0,--,--,0,0,--,0,--,--,900140500,0,"-64,9893799370396"
TUCUMAN,Cruz Alta,Delfín Gallo,00,--,--,--,0,--,SI,0,--,--,00,0,"-65,0915199952372"
TUCUMAN,0,El Bracho,6130,--,0,--,--,--,0,SI,0,SI,900140700,"-26,9921019189366",0
TUCUMAN,Cruz Alta,0,00,--,--,0,--,--,--,--,--,0,900140900,"-26,8184460052552","-65,1556778939315"
TUCUMAN,0,0,00,--,0,0,--,--,0,0,SI,SI,00,"-26,8346473974393","-65,0955588658241"
TUCUMAN,0,Ex Ingenio Esperanza,00,--,0,--,--,--,0,0,SI,SI,900140900,0,"-65,0924758564779"
0,Cruz Alta,Ex Ingenio Los Ralos,00,0,--,--,0,0,--,--,0,0,900140700,"-26,8770998455409",0
0,Cruz Alta,Ex Ingenio Lujan,00,0,--,--,--,0,--,--,0,--,900140900,"-26,8541670602329",0
TUCUMAN,0,Ingenio La Florida,00,--,0,--,--,--,0,0,SI,SI,900140900,0,"-65,0802671019889"
TUCUMAN,Cruz Alta,0,59590,SI,--,0,--,SI,0,SI,SI,SI,00,"-26,8190592540013","-65,0943210848409"
TUCUMAN,Cruz Alta,Las Cejas,00,--,--,--,0,SI,--,--,0,SI,900140900,"-26,8878173829847",0
0,Cruz Alta,Lastenia,00,0,--,--,--,0,--,--,SI,0,900140900,"-26,8621611908602","-65,1625825810305"
TUCUMAN,Cruz Alta,0,00,--,--,0,--,--,--,0,SI,SI,00,0,"-65,1293137289629"
TUCUMAN,0,Los Gutierrez,00,--,0,0,--,--,0,--,SI,SI,00,"-26,80204642135","-65,1258766860824"
TUCUMAN,0,Los Ralos,94290,--,0,--,--,--,0,SI,--,0,900141000,"-26,8770998455409","-64,9748987513019"
TUCUMAN,0,0,8300,--,0,0,--,--,0,--,0,0,900141100,"-26,8992133086383",0
0,Cruz Alta,Ranchillos,68920,0,--,--,--,0,SI,SI,SI,SI,00,"-26,9547865827356","-65,0483776049689"
0,Cruz Alta,San Andrés,00,0,--,--,0,0,--,0,--,SI,900141300,0,"-65,1963401762121"
TUCUMAN,0,0,00,--,0,0,--,--,--,--,0,SI,900140900,"-26,8868084047256",0
TUCUMAN,0,Villa Tercera,00,--,0,--,--,--,0,--,0,0,900140900,"-26,8914692726412",0
TUCUMAN,0,0,11410,--,0,0,--,--,0,0,--,SI,900280100,0,"-65,4291435588925"
TUCUMAN,Famaillá,0,8900,--,--,0,--,--,--,--,--,SI,00,"-27,0256026652764","-65,3464718463273"
0,Famaillá,Ex Ingenio Nueva Baviera,00,0,--,--,0,0,--,--,0,0,900280200,"-27,0697371751242",0
TUCUMAN,Famaillá,Famaillá,00,SI,--,--,0,SI,SI,SI,SI,0,900280300,"-27,0450456348935","-65,3956359866229"
TUCUMAN,Famaillá,Ingenio Fronterita,00,--,--,--,0,0,--,--,--,--,00,"-27,0354707281153","-65,455616412105"
0,Graneros,Graneros,23750,0,--,--,--,0,SI,0,SI,SI,00,0,"-65,4389216777288"
TUCUMAN,Graneros,0,28410,--,0,0,SI,SI,SI,SI,SI,0,900350200,"-27,6466143101473","-65,2504927223474"
TUCUMAN,0,Taco Ralo,12410,--,0,--,--,--,0,SI,0,SI,900350300,"-27,8350683836867",0
0,Juan Bautista Alberdi,Juan Bautista Alberdi,184300,0,--,--,--,0,--,0,SI,SI,900420100,0,"-65,620843677012"
0,Juan Bautista Alberdi,Villa Belgrano,00,0,--,--,0,0,--,0,--,--,00,0,"-65,614612836175"
TUCUMAN,La Cocha,0,65780,SI,--,0,--,SI,SI,SI,0,SI,900490100,"-27,7730048354523",0
TUCUMAN,0,0,1230,--,0,0,--,SI,0,--,0,0,900490200,"-27,7315967012344",0
TUCUMAN,Leales,Bella Vista,00,SI,--,--,0,--,SI,0,SI,SI,900560100,0,"-65,3086376425668"
0,Leales,Estación Aráoz,00,0,--,--,0,0,--,0,SI,SI,00,"-27,0571152473018","-64,9218123993231"
0,Leales,Los Puestos,2740,0,--,--,--,0,--,--,SI,0,900560300,"-27,2808998221653","-65,0190299575107"
TUCUMAN,Leales,Manuel García Fernández,00,0,--,--,0,--,--,SI,0,--,900560400,"-26,9557033913379",0
TUCUMAN,0,Pala Pala,6680,--,0,--,--,SI,0,0,--,SI,00,0,"-65,2181035623283"
TUCUMAN,Leales,0,10770,--,--,0,--,--,0,0,SI,SI,900560600,0,"-65,3560513582608"
0,Leales,Santa Rosa de Leales,00,0,--,--,0,0,SI,SI,0,SI,900560700,"-27,1378928767222",0
0,Leales,Villa de Leales,12370,0,--,--,--,0,SI,SI,--,0,900560900,"-27,1942605268211","-65,3095561336322"
0,Leales,Villa Fiad - Ingenio Leales,00,0,--,--,0,--,SI,SI,SI,SI,00,"-27,0677472403134","-65,2354487523003"
0,Lules,Barrio Araujo,00,0,--,--,--,0,--,0,SI,SI,900630400,0,"-65,2753559359172"
TUCUMAN,Lules,0,21570,--,--,0,--,--,0,--,0,0,900630100,"-26,8749835532106",0
TUCUMAN,0,El Manantial,145820,--,0,--,SI,--,0,SI,0,SI,900630200,"-26,8445604430497",0
TUCUMAN,0,0,96200,SI,0,0,SI,--,0,0,SI,SI,900630300,0,"-65,3103499893471"
TUCUMAN,Lules,0,50290,SI,--,0,--,--,--,0,SI,SI,00,0,"-65,3514727517897"
0,Río Chico,Santa Ana,00,0,--,--,0,0,--,SI,0,SI,900770400,"-27,4722321360222",0
TUCUMAN,Río Chico,Villa Clodomiro Hileret,00,--,--,--,0,--,--,--,0,0,900770500,"-27,4739466117854",0
TUCUMAN,Simoca,0,3990,--,--,0,--,--,SI,--,SI,SI,00,"-27,4175004497156","-65,2878399932446"
TUCUMAN,0,Monteagudo,8800,--,0,--,--,--,0,0,SI,SI,00,0,"-65,2776930194393"
0,Simoca,Nueva Trinidad,2140,0,--,--,--,0,SI,--,--,0,900910300,"-27,4845113363814","-65,4912509331708"
TUCUMAN,Simoca,Santa Cruz,00,--,--,--,0,--,--,--,0,0,900910400,"-27,3865618797716",0
TUCUMAN,0,Simoca,83510,--,0,--,--,--,0,SI,SI,SI,00,"-27,2624226707095","-65,3552894738936"
TUCUMAN,0,0,2910,--,0,0,--,--,SI,0,--,--,00,0,"-65,163544429074"
TUCUMAN,Tafí del Valle,0,13270,--,--,0,SI,SI,SI,SI,0,SI,900980100,"-26,5936376610691",0
TUCUMAN,0,0,6320,--,0,0,--,--,0,SI,--,0,900980200,"-26,3605355069816","-65,9589195037969"
TUCUMAN,Tafí del Valle,El Mollar,00,--,--,--,0,SI,SI,0,--,SI,00,0,"-65,7081542446876"
0,Tafí del Valle,Tafí del Valle,00,0,--,--,0,0,SI,SI,SI,SI,00,"-26,8527978993495","-65,7085573791718"
TUCUMAN,0,0,6200,--,0,0,--,--,0,--,SI,0,901050100,"-26,7081441784822","-65,2200815585159"
TUCUMAN,Tafí Viejo,0,5280,SI,--,0,--,--,--,SI,0,SI,901050200,"-26,7465814588322",0
TUCUMAN,0,0,11320,SI,--,0,--,--,--,SI,SI,SI,00,"-26,7180167498877","-65,2249109374961"
TUCUMAN,0,Barrio Parada 14,2940,--,0,--,--,--,0,0,SI,SI,901050400,0,"-65,248427031041"
TUCUMAN,Tafí Viejo,Barrio UTA II,00,--,--,--,0,--,--,--,SI,0,901050500,"-26,756263713385","-65,2390248245137"
0,Tafí Viejo,Diagonal Norte - Luz y Fuerza - Los Pocitos - Villa Nueva Italia (6),114940,0,--,--,SI,0,--,SI,0,0,901050600,"-26,7815251300034",0
0,Lules,Lules,00,0,SI,--,0,0,SI,0,SI,SI,00,0,"-65,3364017910576"
TUCUMAN,Monteros,Acheral,00,SI,--,--,0,--,SI,SI,SI,SI,00,"-27,12072050474","-65,4705647177524"
TUCUMAN,0,0,5130,--,0,0,--,--,0,--,0,--,900700200,"-27,1895217713073",0
TUCUMAN,Monteros,0,232740,SI,--,0,SI,--,SI,SI,SI,0,900700300,"-27,1674766637374","-65,4987774491472"
TUCUMAN,Monteros,Pueblo Independencia,00,SI,--,--,0,--,--,0,SI,SI,00,0,"-65,527417311463"
0,Monteros,Río Seco,51310,0,--,--,SI,0,SI,0,SI,SI,900700500,0,"-65,5593459528459"
TUCUMAN,0,Santa Lucía,57040,SI,0,--,--,--,0,SI,0,0,900700600,"-27,0930813575252",0
TUCUMAN,Monteros,0,5750,--,--,0,--,--,SI,--,0,--,900700700,"-27,2278200846423",0
0,Monteros,Soldado Maldonado,8050,0,--,--,--,0,--,--,--,--,00,"-27,1423360079647","-65,5656822015637"
0,Monteros,Teniente Berdina,00,--,--,--,0,--,SI,0,--,--,900700900,0,"-65,4875831419552"
TUCUMAN,Monteros,Villa Quinteros,00,SI,--,--,0,--,SI,SI,0,SI,900701000,"-27,2536712257247",0
0,Río Chico,Aguilares,00,0,--,--,0,0,SI,SI,0,0,900770100,"-27,4298511184032","-65,6204066716154"
TUCUMAN,Río Chico,0,00,--,--,0,--,--,--,0,SI,SI,900770200,0,"-65,6064955796251"
TUCUMAN,0,0,30100,SI,0,0,--,--,0,0,--,--,00,0,"-65,695439891394"
0,Río Chico,Río Chico,7580,0,--,--,0,0,--,--,--,0,900770300,"-27,4809961150586","-65,6214061319444"
TUCUMAN,Tafí Viejo,El Cadillal,00,--,--,--,0,--,--,SI,0,0,901050700,"-26,6325444298094",0
0,Tafí Viejo,Tafí Viejo,00,0,SI,--,0,0,SI,0,SI,SI,00,0,"-65,2558176904322"
0,Tafí Viejo,Villa Las Flores,5990,0,--,--,--,0,--,0,SI,SI,901050900,0,"-65,233609939011"
TUCUMAN,0,0,529600,--,0,0,SI,--,0,SI,0,0,901051000,"-26,7759821127859","-65,2019701714422"
TUCUMAN,0,Choromoro,4710,--,0,--,--,--,0,--,0,SI,901120100,"-26,4107463918543",0
TUCUMAN,0,San Pedro de Colalao,30650,--,0,--,--,--,0,0,SI,SI,901120200,0,"-65,4938515563214"
TUCUMAN,Trancas,0,44290,SI,--,0,--,--,SI,SI,SI,SI,00,"-26,2307317035992","-65,285166490246"
0,Yerba Buena,Barrio San José III,00,0,--,--,0,0,--,--,0,SI,901190100,"-26,7964431224326",0
TUCUMAN,Yerba Buena,Cevil Redondo,00,--,--,--,0,--,--,--,0,0,901190300,"-26,7789639578912",0
TUCUMAN,Yerba Buena,0,00,--,--,0,--,--,--,--,--,--,00,"-26,7629680018015","-65,3079476709365"
TUCUMAN,0,0,00,--,0,0,--,--,0,0,SI,SI,901190300,0,"-65,2646764135868"
0,Yerba Buena,Villa Carmela,147280,0,--,--,--,0,SI,SI,SI,0,901190200,"-26,7677751896138","-65,2708444093707"
0,Yerba Buena,Villa San Javier,00,0,--,--,0,0,--,--,0,SI,901190100,"-26,7825946807861",0
TUCUMAN,0,Yerba Buena - Marcos Paz,573920,SI,0,--,SI,--,0,SI,SI,SI,00,"-26,8088452576169","-65,3106988268486"
SANTA FE,0,0,459580,SI,0,0,SI,--,0,0,SI,SI,00,0,"-60,7356209815072"
SANTA FE,San Lorenzo,0,36940,SI,--,0,SI,SI,SI,SI,0,0,821191400,"-32,6696252682834",0
SANTA FE,0,0,2970,--,0,0,--,--,0,--,SI,0,821191500,"-32,6429185717722","-60,8177095118801"
SANTA FE,San Lorenzo,Villa Mugueta,00,--,SI,--,0,SI,--,0,--,SI,821191600,0,"-61,0570695285482"
0,San Martín,Cañada Rosquín,50080,0,--,--,--,0,--,SI,SI,SI,00,"-32,0562934036888","-61,6025429947826"
SANTA FE,0,0,49710,SI,0,0,--,--,0,SI,0,0,821260200,"-32,0526642372536",0
SANTA FE,San Martín,0,7290,--,SI,0,--,--,--,SI,0,SI,821260300,"-32,1279976039457",0
SANTA FE,0,Castelar,6140,--,0,--,--,--,0,0,--,SI,00,0,"-62,0899867120516"
SANTA FE,0,0,9080,--,0,0,--,--,0,--,--,SI,00,"-31,9118940838345","-61,4023835358505"
0,San Martín,Crispi,2670,0,--,--,--,0,--,SI,0,0,821260600,"-31,7417252131656",0
0,San Martín,El Trébol,00,0,SI,--,0,0,SI,SI,SI,0,821260700,"-32,2030242455008","-61,7028944914559"
SANTA FE,San Martín,Landeta,00,SI,SI,--,0,--,--,SI,SI,SI,00,"-32,0138147005941","-62,0611771301989"
0,San Martín,Las Bandurrias,1720,0,SI,--,--,0,--,0,--,SI,00,0,"-61,4927940449511"
SANTA FE,San Martín,0,8720,--,--,0,--,--,--,--,--,0,821261000,"-31,8247278111096","-62,1089907898346"
SANTA FE,0,0,13100,SI,0,0,--,SI,0,SI,0,SI,821261100,"-32,3243031135987",0
0,San Martín,María Susana,00,0,--,--,0,0,SI,0,SI,SI,821261200,0,"-61,9010253248989"
SANTA FE,San Martín,Piamonte,00,--,SI,--,0,--,--,0,--,SI,00,0,"-61,9811202181808"
SANTA FE,0,0,176150,SI,0,0,SI,SI,0,SI,0,SI,821261400,"-31,898003817155",0
SANTA FE,0,San Martín de las Escobas,22990,SI,0,--,--,--,0,SI,0,0,821261500,"-31,8596737471682",0
0,San Martín,Sastre,00,0,--,--,0,0,SI,0,SI,SI,821261600,0,"-61,8294529565696"
0,San Martín,Traill,650,0,--,--,--,0,--,--,--,--,00,"-31,9225991219581","-61,7024471962412"
0,San Martín,Wildermuth (Est Granadero B Bustos),00,0,--,--,0,0,--,--,0,0,821261800,"-31,9469900287545","-61,4025551450022"
SANTA FE,Vera,Calchaquí,00,SI,--,--,0,SI,SI,SI,0,SI,821330100,"-29,8905436040639",0
SANTA FE,0,Cañada Ombú,5180,--,0,--,--,SI,0,0,--,SI,00,0,"-59,9837166450891"
SANTA FE,Vera,0,1410,--,--,0,--,SI,--,0,--,--,821330300,0,"-60,0880421430925"
SANTA FE,Vera,Fortín Olmos,00,--,--,--,0,SI,SI,SI,0,SI,821330400,"-29,0560211845387",0
0,Vera,Garabato,00,0,--,--,0,0,SI,SI,--,0,821330500,"-28,9553447407242","-60,1384384332405"
0,Vera,Golondrina,5630,0,--,--,--,0,SI,0,--,SI,821330600,0,"-60,0251919319472"
SANTA FE,Vera,Intiyaco,00,0,--,--,0,SI,SI,0,--,SI,00,0,"-60,0724684333926"
SANTA FE,0,Kilómetro 115,1820,--,0,--,--,--,0,--,0,--,821330800,"-28,8247510907656",0
SANTA FE,Vera,0,21890,--,--,0,--,--,0,SI,0,0,821330900,"-29,5854889982809","-60,3799393729758"
SANTA FE,Vera,0,10520,--,--,0,--,--,SI,SI,--,SI,00,"-28,1063721680455","-59,9786648326772"
SANTA FE,0,0,35340,--,0,0,--,SI,0,0,SI,SI,821331100,0,"-60,2524652684442"
SANTA FE,Vera,Paraje 29,00,--,--,--,0,SI,SI,--,0,0,821331200,"-29,1097652045099",0
0,Vera,Pozo de los Indios,00,0,--,--,0,0,SI,--,0,--,821331300,"-28,9451306017322",0
SANTA FE,0,Pueblo Santa Lucía,1850,--,0,--,--,--,0,0,--,SI,821331400,0,"-60,4038564051536"
SANTA FE,Vera,0,15990,--,--,0,--,--,SI,--,--,SI,00,"-28,6722104503175","-59,8468195282736"
SANTA FE,Vera,Toba,00,--,--,--,0,0,SI,--,0,--,821331600,"-29,2675884279209",0
0,Vera,Vera (Est Gobernador Vera),191850,0,--,--,--,0,SI,SI,SI,0,821331700,"-29,4629204507651","-60,2133477841634"
SANTIAGO DEL ESTERO,Aguirre,0,640,--,0,0,--,--,--,0,--,SI,00,0,"-62,2668044844868"
SANTIAGO DEL ESTERO,0,Malbrán,10980,SI,0,--,--,SI,0,SI,SI,SI,00,"-29,3352110611277","-62,3314794611812"
SANTIAGO DEL ESTERO,0,0,46780,--,0,0,--,SI,0,SI,SI,0,860070400,"-29,1396357162399","-62,5623960538287"
SANTIAGO DEL ESTERO,Alberdi,0,62220,--,--,0,SI,SI,SI,SI,0,0,860140100,"-26,5814190604185",0
0,Alberdi,Coronel Manuel L Rico,00,0,--,--,0,0,--,--,--,--,00,"-26,3836138959603","-61,8096452907377"
SANTIAGO DEL ESTERO,Alberdi,Donadeu,00,--,--,--,0,--,--,0,--,--,00,0,"-62,6879637973159"
SANTIAGO DEL ESTERO,Alberdi,0,27770,--,--,0,SI,SI,--,SI,0,SI,860140400,"-26,6495967935988",0
SANTIAGO DEL ESTERO,0,0,3130,--,0,--,SI,SI,0,--,0,0,860140500,"-26,6920881873751",0
SANTIAGO DEL ESTERO,Atamisqui,0,4180,--,--,0,SI,SI,--,--,--,SI,00,"-28,4989570837627","-63,9077257443296"
SANTIAGO DEL ESTERO,0,0,5650,--,0,0,SI,SI,0,0,--,--,00,0,"-63,7041964723455"
SANTIAGO DEL ESTERO,Atamisqui,Villa Atamisqui,00,--,--,--,0,SI,SI,SI,SI,0,860210300,"-28,5100801277829","-63,7395224086495"
0,Avellaneda,Colonia Dora,00,0,SI,--,0,0,SI,SI,0,0,860280100,"-28,6003169561704",0
0,Avellaneda,Herrera,18940,0,SI,--,--,0,--,0,SI,SI,860280200,0,"-62,9926469968689"
SANTIAGO DEL ESTERO,Banda,Tramo 20,00,--,--,--,0,0,--,--,--,--,00,"-27,7483335678157","-64,0791400566417"
SANTIAGO DEL ESTERO,0,Bandera,65360,--,0,--,SI,SI,0,SI,0,0,860420100,"-28,8735129458763",0
SANTIAGO DEL ESTERO,0,0,1150,--,--,0,--,SI,SI,SI,--,0,860420200,"-28,8789396191069","-61,8155670834195"
0,Belgrano,Fortín Inca,00,0,--,--,0,0,SI,SI,--,--,00,"-29,1040556658268","-61,8431626122076"
0,Belgrano,Guardia Escolta,8940,0,SI,--,--,0,SI,0,--,SI,860420400,0,"-62,035706028836"
SANTIAGO DEL ESTERO,0,0,6550,--,0,0,--,--,0,--,SI,0,860490100,"-27,7351697774199","-64,3057691663459"
SANTIAGO DEL ESTERO,Capital,0,850,--,--,0,--,SI,SI,--,0,--,860490200,"-28,0035728575011",0
0,Capital,El Zanjón,00,0,--,--,0,0,SI,0,--,--,00,0,"-64,1730797752693"
SANTIAGO DEL ESTERO,Capital,Los Cardozos,00,--,--,--,0,--,SI,0,--,--,860490400,0,"-64,1435890450184"
0,Capital,Maco,00,0,--,--,0,--,SI,--,0,SI,860490500,"-27,847639",0
0,Capital,Maquito,840,0,--,--,--,0,SI,--,0,0,860490600,"-27,87170",0
SANTIAGO DEL ESTERO,Capital,0,2040,--,--,0,--,--,SI,0,--,--,860490700,0,"-64,3236662614394"
SANTIAGO DEL ESTERO,0,Puesto de San Antonio,840,--,0,--,--,--,0,--,--,SI,00,0,"-64,3395984822365"
0,Capital,San Pedro,2500,0,--,--,--,0,SI,--,--,0,860490900,"-27,9550739860833","-64,1078997635937"
0,Capital,Santa María,00,0,--,--,0,0,SI,--,0,0,860491000,"-27,9635432986366",0
0,Avellaneda,Icaño,19750,0,SI,--,--,0,SI,0,--,SI,00,0,"-62,7989820714201"
0,Avellaneda,Lugones,00,0,SI,--,0,0,--,0,SI,SI,860280400,0,"-63,2706691942439"
SANTIAGO DEL ESTERO,0,Real Sayana,14120,--,0,--,--,--,0,--,SI,0,860280500,"-28,8151294886589","-62,7610345462438"
SANTIAGO DEL ESTERO,0,0,10610,--,0,0,--,SI,0,--,0,SI,860280600,"-28,4893268442445",0
SANTIAGO DEL ESTERO,Banda,0,1380,--,--,0,--,--,--,0,--,--,860350100,0,"-64,379064524629"
SANTIAGO DEL ESTERO,0,Antajé,2100,--,0,--,--,--,0,--,--,--,00,0,"-64,2241078600325"
SANTIAGO DEL ESTERO,Banda,Ardiles,00,--,--,--,0,--,--,--,0,--,860350300,"-27,445260675861",0
0,Banda,Cañada Escobar,00,0,--,--,--,0,--,--,0,0,860350400,"-27,7354009098552",0
SANTIAGO DEL ESTERO,0,0,3820,--,0,0,SI,--,0,--,--,SI,00,"-27,5289028812003","-64,3963586561163"
SANTIAGO DEL ESTERO,Banda,0,96610,--,--,0,SI,SI,SI,0,SI,SI,00,0,"-64,0826491614352"
0,Banda,Huyamampa,00,0,--,--,0,0,--,--,--,0,860350700,"-27,4118141271732","-64,2680298965622"
0,Banda,La Aurora,7360,0,--,--,--,0,--,--,0,0,860350800,"-27,5190033687316",0
SANTIAGO DEL ESTERO,0,0,1064410,SI,0,0,SI,SI,0,SI,--,SI,00,"-27,7598104844079","-64,1861422955531"
SANTIAGO DEL ESTERO,0,La Dársena,11520,--,0,--,--,--,0,0,SI,SI,00,0,"-64,2457984728141"
SANTIAGO DEL ESTERO,0,0,10650,--,0,--,--,SI,0,--,0,0,860351100,"-27,669552",0
SANTIAGO DEL ESTERO,Banda,0,2240,--,--,0,--,--,--,--,--,0,860351200,"-27,6523150539022","-64,3166505414142"
0,Banda,Simbolar,23440,0,--,--,--,0,--,0,--,SI,860351300,0,"-64,1924887"
SANTIAGO DEL ESTERO,Banda,Tramo 16,00,--,--,--,0,--,--,--,--,--,00,"-27,7266176015356","-64,1316855402386"
SANTIAGO DEL ESTERO,General Taboada,0,232860,SI,SI,0,SI,SI,SI,SI,0,0,860770100,"-28,4604679974535",0
SANTIAGO DEL ESTERO,0,0,3710,--,0,0,--,--,0,--,0,--,860770200,"-28,741220514431",0
SANTIAGO DEL ESTERO,0,Estación Tacañitas,10600,--,0,--,SI,SI,0,--,--,SI,00,"-28,6138541583173","-62,5238361883097"
SANTIAGO DEL ESTERO,0,0,910,--,--,0,--,--,--,0,--,--,860770400,0,"-61,7418831319049"
0,General Taboada,Los Juríes,38330,0,SI,--,SI,0,--,SI,--,0,860770500,"-28,4484755911851","-62,0335980843552"
SANTIAGO DEL ESTERO,General Taboada,Tomás Young,00,--,SI,--,0,0,SI,--,0,0,860770600,"-28,6023467596818",0
SANTIAGO DEL ESTERO,Guasayán,Lavalle,00,--,--,--,0,SI,SI,0,SI,SI,00,0,"-65,0404186745627"
0,Guasayán,San Pedro,00,0,--,--,0,0,SI,--,SI,SI,00,"-28,004477679772","-65,1016629117011"
SANTIAGO DEL ESTERO,Jiménez,0,540,--,--,0,--,SI,--,--,0,0,860910050,"-26,803881840061",0
SANTIAGO DEL ESTERO,0,0,14660,--,0,0,--,SI,0,--,--,0,860910100,"-26,7503821112546","-64,3648190953026"
0,Jiménez,El Charco,1780,0,--,--,SI,0,--,0,--,SI,00,0,"-64,6538973422057"
SANTIAGO DEL ESTERO,Jiménez,El Rincón,00,--,--,--,0,--,--,0,--,--,860910300,0,"-64,4384727520069"
SANTIAGO DEL ESTERO,Jiménez,0,4090,--,--,0,SI,--,--,--,0,0,860910400,"-27,296511056423",0
SANTIAGO DEL ESTERO,0,Isca Yacu,870,--,0,--,--,--,0,--,0,--,860910500,"-27,0297711564072",0
0,Jiménez,Isca Yacu Semaul,00,0,--,--,0,--,--,--,--,--,00,0,"-64,6122133001112"
0,Moreno,Patay,2320,0,--,--,--,0,--,0,--,--,861190800,0,"-62,9328911113827"
0,Jiménez,Pozo Hondo,00,0,--,--,0,0,--,SI,0,SI,860910700,"-27,1937927074288",0
SANTIAGO DEL ESTERO,Jiménez,San Pedro,00,--,--,--,0,--,--,--,--,0,860910800,"-26,7675027140054","-64,3577360686502"
SANTIAGO DEL ESTERO,0,0,7350,--,0,0,--,SI,0,0,--,SI,860980100,0,"-62,1171378956456"
SANTIAGO DEL ESTERO,Juan F Ibarra,0,1430,--,--,0,--,SI,SI,0,--,--,00,0,"-61,720781100109"
SANTIAGO DEL ESTERO,Juan F Ibarra,Matará,00,--,--,--,0,SI,SI,SI,--,0,860980300,"-28,1124229765898","-63,1276057745649"
0,Juan F Ibarra,Suncho Corral,00,0,--,--,0,0,SI,SI,0,SI,860980400,"-27,9425197490166",0
SANTIAGO DEL ESTERO,Juan F Ibarra,Vilelas,00,0,--,--,0,SI,SI,0,--,SI,860980500,0,"-62,5456888179709"
0,Juan F Ibarra,Yuchán,5360,0,--,--,--,0,--,0,--,SI,00,0,"-62,9003451010272"
SANTIAGO DEL ESTERO,Loreto,0,109960,--,--,0,--,SI,0,--,0,SI,861050100,"-28,3266654290546",0
SANTIAGO DEL ESTERO,0,Villa Unión,5100,--,0,--,--,SI,0,--,--,0,861120100,"-29,4117845166099","-62,6857417034462"
SANTIAGO DEL ESTERO,0,0,2490,--,0,0,--,SI,0,--,--,--,00,0,"-62,3796577004907"
SANTIAGO DEL ESTERO,Moreno,0,4710,--,--,0,SI,SI,--,0,--,--,861190200,0,"-62,5491681163406"
0,Moreno,Hasse,00,0,--,--,0,0,--,--,0,0,861190300,"-27,0717441766102",0
SANTIAGO DEL ESTERO,Moreno,Hernán Mejía Miraval,00,--,--,--,0,SI,--,--,0,--,861190400,"-27,1752881258606",0
SANTIAGO DEL ESTERO,Moreno,0,16240,--,--,0,--,SI,--,0,--,SI,00,0,"-62,9188088964109"
SANTIAGO DEL ESTERO,0,Libertad,1530,--,0,--,--,SI,0,--,--,--,00,"-27,0758668814254","-63,0708903756963"
0,Moreno,Lilo Viejo,4160,0,--,--,--,0,--,--,0,0,861190700,"-26,9404566764547",0
SANTIAGO DEL ESTERO,Moreno,Pueblo Pablo Torelo (Est Otumpa),00,--,--,--,0,0,--,--,--,0,861190900,"-27,3305544890762","-62,2264018429329"
SANTIAGO DEL ESTERO,0,Quimilí,150520,SI,0,--,--,SI,0,0,SI,SI,00,0,"-62,3568862967013"
SANTIAGO DEL ESTERO,0,0,1850,--,0,0,--,SI,--,--,--,--,00,"-27,5931208227354","-61,9454442933124"
SANTIAGO DEL ESTERO,Moreno,0,35370,--,--,0,SI,SI,--,SI,--,0,861191200,"-27,0259291304013","-62,6624439965305"
SANTIAGO DEL ESTERO,0,0,18420,--,0,0,--,--,0,--,0,0,861191300,"-27,309625039991",0
SANTIAGO DEL ESTERO,Ojo de Agua,El 49,00,--,--,--,0,--,--,--,--,SI,00,"-29,0867993771921","-63,875828156503"
0,Ojo de Agua,Sol de Julio,00,0,--,--,0,0,SI,0,--,SI,861260200,0,"-63,3519718397153"
SANTIAGO DEL ESTERO,0,0,67760,--,0,0,SI,--,0,SI,0,SI,861260300,"-29,5212673985671",0
SANTIAGO DEL ESTERO,Pellegrini,0,16200,--,--,0,--,--,SI,--,0,0,861330100,"-26,1227673476409",0
